Date,Time,Region,Spot,Wave_Height_ft,Surfline_Wave_Height_ft,Wind_Direction,Wind_Strength_mph,Observation_Type,Entered_By,Notes
1/12/2026,7:00:00 AM,Northern California,26th Ave,5-6,6-8,,,Online Cam,Garrett,
1/12/2026,5:00:00 PM,Northern California,26th Ave,6-7,5-7,,,Online Cam,Garrett,
1/12/2026,7:30:00 AM,Northern California,Cowells,3-4,2-3,,,Online Cam,Garrett,
1/12/2026,5:00:00 PM,Northern California,Cowells,2-3,1-2,,,Online Cam,Garrett,
1/12/2026,8:00:00 AM,Northern California,Steamer Lane Middle Peak,8-12,8-12,,,Online Cam,Garrett,
1/12/2026,5:00:00 PM,Northern California,Steamer Lane Middle Peak,8-12,8-10,,,Online Cam,Garrett,
1/12/2026,7:00:00 AM,Northern California,Steamer Lane Point,6-8,8-12,,,Online Cam,Garrett,
1/12/2026,5:00:00 PM,Northern California,Steamer Lane Point,6-8,8-10,,,Online Cam,Garrett,
1/12/2026,7:00:00 AM,Northern California,Steamer Lane Indicators,3-5,,,,Online Cam,Garrett,
1/12/2026,5:00:00 PM,Northern California,Steamer Lane Indicators,3-5,,,,Online Cam,Garrett,
1/12/2026,8:00:00 AM,Northern California,Mitchell's,5-7,6-8,,,Online Cam,Garrett,
1/12/2026,5:00:00 PM,Northern California,Mitchell's,5-7,4-6,,,Online Cam,Garrett,
1/12/2026,4:00:00 PM,Northern California,Natural Bridges,4-5,6-8,,,Surfing,Garrett,
1/12/2026,4:00:00 PM,Northern California,Swift Street,6-7,3-4,,,Standing on Shore,Garrett,
1/13/2026,3:00:00 PM,Northern California,Ocean Beach Central,8-10,8-10,,,Surfing,Garrett,
1/13/2026,3:00:00 PM,Northern California,Ocean Beach North,6-8,5-7,,,Surfing,Garrett,
1/14/2026,3:30:00 PM,Northern California,Steamer Lane Point,4-6,5-7,,,Online Cam,Garrett,
1/19/2026,7:00:00 AM,Northern California,Manresa,2-3,2-3,,,Online Cam,Garrett,
1/19/2026,5:00:00 PM,Northern California,Manresa,3-4,2-3,,,Online Cam,Garrett,
1/19/2026,7:00:00 AM,Northern California,Capitola,1,0-1,,,Online Cam,Garrett,
1/19/2026,5:00:00 PM,Northern California,Capitola,1-2,0-1,,,Online Cam,Garrett,
1/19/2026,7:00:00 AM,Northern California,The Hook,0,1-2,,,Online Cam,Garrett,
1/19/2026,5:00:00 PM,Northern California,The Hook,2-3,0-1,,,Online Cam,Garrett,
1/19/2026,7:00:00 AM,Northern California,Pleasure Point Jacks,1,1-2,,,Online Cam,Garrett,
1/19/2026,5:00:00 PM,Northern California,Pleasure Point Jacks,1-2,0-1,,,Online Cam,Garrett,
1/19/2026,7:00:00 AM,Northern California,Pleasure Point First Peak,3-4,2-3,,,Online Cam,Garrett,
1/19/2026,5:00:00 PM,Northern California,Pleasure Point First Peak,3-4,2-3,,,Online Cam,Garrett,
1/19/2026,7:00:00 AM,Northern California,Pleasure Point Second Peak,2-4,2-3,,,Online Cam,Garrett,
1/19/2026,5:00:00 PM,Northern California,Pleasure Point Second Peak,2-3,2-3,,,Online Cam,Garrett,
1/19/2026,7:00:00 AM,Northern California,Pleasure Point Sewers,5,2-3,,,Online Cam,Garrett,
1/19/2026,5:00:00 PM,Northern California,Pleasure Point Sewers,5,2-3,,,Online Cam,Garrett,
1/19/2026,7:00:00 AM,Northern California,26th Ave,1-2,2-3,,,Online Cam,Garrett,
1/19/2026,5:00:00 PM,Northern California,26th Ave,3-4,2-3,,,Online Cam,Garrett,
1/19/2026,7:00:00 AM,Northern California,Cowells,0,0-1,,,Online Cam,Garrett,
1/19/2026,5:00:00 PM,Northern California,Cowells,0-1,0-1,,,Online Cam,Garrett,
1/19/2026,7:00:00 AM,Northern California,Steamer Lane Middle Peak,0,3-4,,,Online Cam,Garrett,
1/19/2026,5:00:00 PM,Northern California,Steamer Lane Middle Peak,5-6,3-4,,,Online Cam,Garrett,
1/19/2026,7:00:00 AM,Northern California,Steamer Lane Point,3-5,3-4,,,Online Cam,Garrett,
1/19/2026,5:00:00 PM,Northern California,Steamer Lane Point,5-6,3-4,,,Online Cam,Garrett,
1/19/2026,7:00:00 AM,Northern California,Steamer Lane Indicators,0,,,,Online Cam,Garrett,
1/19/2026,5:00:00 PM,Northern California,Steamer Lane Indicators,2-3,,,,Online Cam,Garrett,
1/19/2026,7:00:00 AM,Northern California,Mitchell's,1-2,2-3,,,Online Cam,Garrett,
1/19/2026,5:00:00 PM,Northern California,Mitchell's,2-3,2-3,,,Online Cam,Garrett,
1/20/2026,7:00:00 AM,Northern California,Manresa,3-4,3-4,,,Online Cam,Garrett,
1/20/2026,5:00:00 PM,Northern California,Manresa,4-5,4-5,,,Online Cam,Garrett,
1/20/2026,7:00:00 AM,Northern California,Capitola,2-3,0-1,,,Online Cam,Garrett,
1/20/2026,5:00:00 PM,Northern California,Capitola,2-3,0-1,,,Online Cam,Garrett,
1/20/2026,7:00:00 AM,Northern California,The Hook,1-2,1-2,,,Online Cam,Garrett,
1/20/2026,5:00:00 PM,Northern California,The Hook,1-2,1-2,,,Online Cam,Garrett,
1/20/2026,7:00:00 AM,Northern California,Pleasure Point Jacks,1-2,0-1,,,Online Cam,Garrett,
1/20/2026,5:00:00 PM,Northern California,Pleasure Point Jacks,2-3,1-2,,,Online Cam,Garrett,
1/20/2026,7:00:00 AM,Northern California,Pleasure Point First Peak,3-5,2-3,,,Online Cam,Garrett,
1/20/2026,5:00:00 PM,Northern California,Pleasure Point First Peak,3-5,3-4,,,Online Cam,Garrett,
1/20/2026,7:00:00 AM,Northern California,Pleasure Point Second Peak,3-4,2-3,,,Online Cam,Garrett,
1/20/2026,5:00:00 PM,Northern California,Pleasure Point Second Peak,3-4,3-4,,,Online Cam,Garrett,
1/20/2026,7:00:00 AM,Northern California,Pleasure Point Sewers,5,2-3,,,Online Cam,Garrett,
1/20/2026,5:00:00 PM,Northern California,Pleasure Point Sewers,6,3-4,,,Online Cam,Garrett,
1/20/2026,7:00:00 AM,Northern California,26th Ave,2-4,3-4,,,Online Cam,Garrett,
1/20/2026,5:00:00 PM,Northern California,26th Ave,4-5,3-4,,,Online Cam,Garrett,
1/20/2026,7:00:00 AM,Northern California,Cowells,0,0-1,,,Online Cam,Garrett,
1/20/2026,5:00:00 PM,Northern California,Cowells,0-1,0-1,,,Online Cam,Garrett,
1/20/2026,7:00:00 AM,Northern California,Steamer Lane Middle Peak,4,4-6,,,Online Cam,Garrett,
1/20/2026,5:00:00 PM,Northern California,Steamer Lane Middle Peak,7,4-6,,,Online Cam,Garrett,
1/20/2026,7:00:00 AM,Northern California,Steamer Lane Point,3-5,4-6,,,Online Cam,Garrett,
1/20/2026,5:00:00 PM,Northern California,Steamer Lane Point,4-5,4-6,,,Online Cam,Garrett,
1/20/2026,7:00:00 AM,Northern California,Steamer Lane Indicators,2-3,,,,Online Cam,Garrett,
1/20/2026,5:00:00 PM,Northern California,Steamer Lane Indicators,1-3,,,,Online Cam,Garrett,
1/20/2026,7:00:00 AM,Northern California,Mitchell's,1-3,2-3,,,Online Cam,Garrett,
1/20/2026,5:00:00 PM,Northern California,Mitchell's,3-5,3-4,,,Online Cam,Garrett,
1/20/2026,1:00:00 PM,Northern California,Ocean Beach Central,10,5-7,NE,8,Visual ,Dean,"Interesting as swell is 2.4@16 from 277 according to Surfline, yet some nearly double o sets mid beach"
1/20/2026,1:00:00 PM,Northern California,Ocean Beach North,8,4-6,NE,8,Visual ,Dean,
1/20/2026,1:30:00 PM,Northern California,Waddell Creek Beach,6,4-5,,,Visual ,Garrett,
1/20/2026,1:30:00 PM,Northern California,Waddell Creek Reef,6,4-5,,,Visual ,Garrett,
1/20/2026,2:00:00 PM,Northern California,Montara,5-7,,,,Visual ,Garrett,
1/20/2026,3:00:00 PM,Northern California,Ocean Beach Central,10,6-8,,,Visual ,Garrett,
1/20/2026,3:00:00 PM,Northern California,Ocean Beach North,8,4-6,,,Visual ,Garrett,
1/22/2026,8:00:00 AM,Northern California,Steamer Lane Middle Peak,5-7,3-4,,,Online Cam,Garrett,
1/22/2026,8:00:00 AM,Northern California,Steamer Lane Point,4-5,3-4,,,Online Cam,Garrett,
1/22/2026,8:00:00 AM,Northern California,26th Ave,2-3,2-3,,,Online Cam,Garrett,
1/22/2026,8:00:00 AM,Northern California,Ocean Beach Central,6-7,4-5,,,Online Cam,Garrett,
1/22/2026,8:00:00 AM,Northern California,Ocean Beach North,4-5,3-4,,,Online Cam,Garrett,
1/23/2026,8:00:00 AM,Northern California,Ocean Beach South,3-5,4-6,,,Online Cam,Garrett,
1/23/2026,11:00:00 AM,Northern California,Ocean Beach South,3-4,4-5,,,Online Cam,Garrett,
1/23/2026,4:00:00 PM,Northern California,Ocean Beach South,3-5,4-5,,,Online Cam,Garrett,
1/23/2026,8:00:00 AM,Northern California,Ocean Beach Central,4-5,4-5,,,Online Cam,Garrett,
1/23/2026,11:00:00 AM,Northern California,Ocean Beach Central,4-5,4-5,,,Online Cam,Garrett,
1/23/2026,4:00:00 PM,Northern California,Ocean Beach Central,3-5,4-5,,,Online Cam,Garrett,
1/23/2026,8:00:00 AM,Northern California,Ocean Beach North,2-4,4-5,,,Online Cam,Garrett,
1/23/2026,11:00:00 AM,Northern California,Ocean Beach North,2-4,4-5,,,Online Cam,Garrett,
1/23/2026,4:00:00 PM,Northern California,Ocean Beach North,2-3,3-4,,,Online Cam,Garrett,
1/24/2026,8:00:00 AM,Northern California,Ocean Beach South,3-4,4-6,,,Online Cam,Garrett,
1/24/2026,11:00:00 AM,Northern California,Ocean Beach South,3-4,4-6,,,Online Cam,Garrett,
1/24/2026,4:00:00 PM,Northern California,Ocean Beach South,3-4,4-6,,,Online Cam,Garrett,
1/24/2026,8:00:00 AM,Northern California,Ocean Beach Central,5-7,4-5,,,Online Cam,Garrett,
1/24/2026,11:00:00 AM,Northern California,Ocean Beach Central,5-7,4-5,,,Online Cam,Garrett,
1/24/2026,4:00:00 PM,Northern California,Ocean Beach Central,4-5,4-6,,,Online Cam,Garrett,
1/24/2026,8:00:00 AM,Northern California,Ocean Beach North,3-4,3-4,,,Online Cam,Garrett,
1/24/2026,11:00:00 AM,Northern California,Ocean Beach North,4-5,3-4,,,Online Cam,Garrett,
1/24/2026,4:00:00 PM,Northern California,Ocean Beach North,3-4,3-4,,,Online Cam,Garrett,
1/25/2026,8:00:00 AM,Northern California,Ocean Beach South,4-6,4-5,,,Online Cam,Garrett,
1/25/2026,11:00:00 AM,Northern California,Ocean Beach South,3-4,4-5,,,Online Cam,Garrett,
1/25/2026,4:00:00 PM,Northern California,Ocean Beach South,3-5,3-4,,,Online Cam,Garrett,
1/25/2026,8:00:00 AM,Northern California,Ocean Beach Central,5-7,4-5,,,Online Cam,Garrett,
1/25/2026,11:00:00 AM,Northern California,Ocean Beach Central,5-6,4-5,,,Online Cam,Garrett,
1/25/2026,4:00:00 PM,Northern California,Ocean Beach Central,3-5,3-4,,,Online Cam,Garrett,
1/25/2026,8:00:00 AM,Northern California,Ocean Beach North,3-4,3-4,,,Online Cam,Garrett,
1/25/2026,11:00:00 AM,Northern California,Ocean Beach North,3-5,3-4,,,Online Cam,Garrett,
1/25/2026,4:00:00 PM,Northern California,Ocean Beach North,2-4,2-3,,,Online Cam,Garrett,
1/26/2026,8:00:00 AM,Northern California,Ocean Beach South,4-5,3-4,,,Online Cam,Garrett,
1/26/2026,11:00:00 AM,Northern California,Ocean Beach South,4-5,4-5,,,Online Cam,Garrett,
1/26/2026,4:00:00 PM,Northern California,Ocean Beach South,3-5,3-4,,,Online Cam,Garrett,
1/26/2026,8:00:00 AM,Northern California,Ocean Beach Central,4-5,3-4,,,Online Cam,Garrett,
1/26/2026,11:00:00 AM,Northern California,Ocean Beach Central,5-6,3-4,,,Online Cam,Garrett,
1/26/2026,4:00:00 PM,Northern California,Ocean Beach Central,4-5,3-4,,,Online Cam,Garrett,
1/26/2026,8:00:00 AM,Northern California,Ocean Beach North,3-4,2-3,,,Online Cam,Garrett,
1/26/2026,11:00:00 AM,Northern California,Ocean Beach North,4-6,3-4,,,Online Cam,Garrett,
1/26/2026,4:00:00 PM,Northern California,Ocean Beach North,3-4,2-3,,,Online Cam,Garrett,
1/29/2026,7:00:00 AM,Northern California,Manresa,6-8,5-7,,,Online Cam,Garrett,
1/29/2026,5:00:00 PM,Northern California,Manresa,6-8,8-10,,,Online Cam,Garrett,
1/29/2026,7:00:00 AM,Northern California,Capitola,2,1-2,,,Online Cam,Garrett,
1/29/2026,5:00:00 PM,Northern California,Capitola,3-4,2-3,,,Online Cam,Garrett,
1/29/2026,7:00:00 AM,Northern California,The Hook,1-2,2-3,,,Online Cam,Garrett,
1/29/2026,5:00:00 PM,Northern California,The Hook,3-5,4-5,,,Online Cam,Garrett,
1/29/2026,7:00:00 AM,Northern California,Pleasure Point Jacks,1-3,2-3,,,Online Cam,Garrett,
1/29/2026,5:00:00 PM,Northern California,Pleasure Point Jacks,3-5,3-4,,,Online Cam,Garrett,
1/29/2026,7:00:00 AM,Northern California,Pleasure Point First Peak,5-7,4-6,,,Online Cam,Garrett,
1/29/2026,5:00:00 PM,Northern California,Pleasure Point First Peak,5-7,6-8,,,Online Cam,Garrett,
1/29/2026,7:00:00 AM,Northern California,Pleasure Point Second Peak,4-6,4-6,,,Online Cam,Garrett,
1/29/2026,5:00:00 PM,Northern California,Pleasure Point Second Peak,5-7,6-8,,,Online Cam,Garrett,
1/29/2026,7:00:00 AM,Northern California,Pleasure Point Sewers,8,4-6,,,Online Cam,Garrett,
1/29/2026,5:00:00 PM,Northern California,Pleasure Point Sewers,9,6-8,,,Online Cam,Garrett,
1/29/2026,7:00:00 AM,Northern California,26th Ave,3-5,4-6,,,Online Cam,Garrett,
1/29/2026,5:00:00 PM,Northern California,26th Ave,7-9,8-10,,,Online Cam,Garrett,
1/29/2026,7:00:00 AM,Northern California,Cowells,0,1-2,,,Online Cam,Garrett,
1/29/2026,5:00:00 PM,Northern California,Cowells,1-3,2-3,,,Online Cam,Garrett,
1/29/2026,7:00:00 AM,Northern California,Steamer Lane Middle Peak,5-7,8-10,,,Online Cam,Garrett,
1/29/2026,5:00:00 PM,Northern California,Steamer Lane Middle Peak,8-12,8-12,,,Online Cam,Garrett,
1/29/2026,7:00:00 AM,Northern California,Steamer Lane Point,6-8,8-10,,,Online Cam,Garrett,
1/29/2026,5:00:00 PM,Northern California,Steamer Lane Point,5-7,8-12,,,Online Cam,Garrett,
1/29/2026,7:00:00 AM,Northern California,Steamer Lane Indicators,3-4,,,,Online Cam,Garrett,
1/29/2026,5:00:00 PM,Northern California,Steamer Lane Indicators,3-5,,,,Online Cam,Garrett,
1/29/2026,7:00:00 AM,Northern California,Mitchell's,2-3,3-4,,,Online Cam,Garrett,
1/29/2026,5:00:00 PM,Northern California,Mitchell's,5-6,6-8,,,Online Cam,Garrett,
2/1/2026,7:00:00 AM,Northern California,Manresa,8-9,4-6,,,Online Cam,Garrett,
2/1/2026,5:00:00 PM,Northern California,Manresa,5-8,5-7,,,Online Cam,Garrett,
2/1/2026,7:00:00 AM,Northern California,Capitola,1-2,1-2,,,Online Cam,Garrett,
2/1/2026,5:00:00 PM,Northern California,Capitola,2-3,1-2,,,Online Cam,Garrett,
2/1/2026,7:00:00 AM,Northern California,The Hook,0-1,2-3,,,Online Cam,Garrett,
2/1/2026,5:00:00 PM,Northern California,The Hook,2-4,2-3,,,Online Cam,Garrett,
2/1/2026,7:00:00 AM,Northern California,Pleasure Point Jacks,0-2,1-2,,,Online Cam,Garrett,
2/1/2026,5:00:00 PM,Northern California,Pleasure Point Jacks,2-4,2-3,,,Online Cam,Garrett,
2/1/2026,7:00:00 AM,Northern California,Pleasure Point First Peak,4-5,4-5,,,Online Cam,Garrett,
2/1/2026,5:00:00 PM,Northern California,Pleasure Point First Peak,5-6,4-6,,,Online Cam,Garrett,
2/1/2026,7:00:00 AM,Northern California,Pleasure Point Second Peak,3-5,4-5,,,Online Cam,Garrett,
2/1/2026,5:00:00 PM,Northern California,Pleasure Point Second Peak,3-5,4-6,,,Online Cam,Garrett,
2/1/2026,7:00:00 AM,Northern California,Pleasure Point Sewers,7,4-5,,,Online Cam,Garrett,
2/1/2026,5:00:00 PM,Northern California,Pleasure Point Sewers,8,4-6,,,Online Cam,Garrett,
2/1/2026,7:00:00 AM,Northern California,26th Ave,2-4,4-5,,,Online Cam,Garrett,
2/1/2026,5:00:00 PM,Northern California,26th Ave,5-8,5-7,,,Online Cam,Garrett,
2/1/2026,7:00:00 AM,Northern California,Cowells,0,1-2,,,Online Cam,Garrett,
2/1/2026,5:00:00 PM,Northern California,Cowells,1-3,1-2,,,Online Cam,Garrett,
2/1/2026,7:00:00 AM,Northern California,Steamer Lane Middle Peak,3-4,5-7,,,Online Cam,Garrett,
2/1/2026,5:00:00 PM,Northern California,Steamer Lane Middle Peak,6-8,8-10,,,Online Cam,Garrett,
2/1/2026,7:00:00 AM,Northern California,Steamer Lane Point,5-7,5-7,,,Online Cam,Garrett,
2/1/2026,5:00:00 PM,Northern California,Steamer Lane Point,4-5,8-10,,,Online Cam,Garrett,
2/1/2026,7:00:00 AM,Northern California,Steamer Lane Indicators,2-3,,,,Online Cam,Garrett,
2/1/2026,5:00:00 PM,Northern California,Steamer Lane Indicators,3-4,,,,Online Cam,Garrett,
2/1/2026,7:00:00 AM,Northern California,Mitchell's,1-3,3-4,,,Online Cam,Garrett,
2/1/2026,5:00:00 PM,Northern California,Mitchell's,5-6,4-6,,,Online Cam,Garrett,
2/2/2026,7:00:00 AM,Northern California,Manresa,7-9,8-10,,,Online Cam,Garrett,
2/2/2026,5:00:00 PM,Northern California,Manresa,8-10,8-10,,,Online Cam,Garrett,
2/2/2026,7:00:00 AM,Northern California,Capitola,3-4,2-3,,,Online Cam,Garrett,
2/2/2026,5:00:00 PM,Northern California,Capitola,2-4,2-3,,,Online Cam,Garrett,
2/2/2026,7:00:00 AM,Northern California,The Hook,3-4,4-5,,,Online Cam,Garrett,
2/2/2026,5:00:00 PM,Northern California,The Hook,4-5,3-4,,,Online Cam,Garrett,
2/2/2026,7:00:00 AM,Northern California,Pleasure Point Jacks,3-4,3-4,,,Online Cam,Garrett,
2/2/2026,5:00:00 PM,Northern California,Pleasure Point Jacks,3-5,3-4,,,Online Cam,Garrett,
2/2/2026,7:00:00 AM,Northern California,Pleasure Point First Peak,6-8,6-8,,,Online Cam,Garrett,
2/2/2026,5:00:00 PM,Northern California,Pleasure Point First Peak,6-8,6-8,,,Online Cam,Garrett,
2/2/2026,7:00:00 AM,Northern California,Pleasure Point Second Peak,5-7,6-8,,,Online Cam,Garrett,
2/2/2026,5:00:00 PM,Northern California,Pleasure Point Second Peak,5-6,6-8,,,Online Cam,Garrett,
2/2/2026,7:00:00 AM,Northern California,Pleasure Point Sewers,10,6-8,,,Online Cam,Garrett,
2/2/2026,5:00:00 PM,Northern California,Pleasure Point Sewers,12,6-8,,,Online Cam,Garrett,
2/2/2026,7:00:00 AM,Northern California,26th Ave,6-8,8-10,,,Online Cam,Garrett,
2/2/2026,5:00:00 PM,Northern California,26th Ave,8-10,6-8,,,Online Cam,Garrett,
2/2/2026,7:00:00 AM,Northern California,Cowells,0,2-3,,,Online Cam,Garrett,
2/2/2026,5:00:00 PM,Northern California,Cowells,2-4,3-4,,,Online Cam,Garrett,
2/2/2026,7:00:00 AM,Northern California,Steamer Lane Middle Peak,10,10-15,,,Online Cam,Garrett,
2/2/2026,5:00:00 PM,Northern California,Steamer Lane Middle Peak,15,8-12,,,Online Cam,Garrett,
2/2/2026,7:00:00 AM,Northern California,Steamer Lane Point,6-8,10-15,,,Online Cam,Garrett,
2/2/2026,5:00:00 PM,Northern California,Steamer Lane Point,6-8,8-12,,,Online Cam,Garrett,
2/2/2026,7:00:00 AM,Northern California,Steamer Lane Indicators,3-5,,,,Online Cam,Garrett,
2/2/2026,5:00:00 PM,Northern California,Steamer Lane Indicators,4-5,,,,Online Cam,Garrett,
2/2/2026,7:00:00 AM,Northern California,Mitchell's,6-7,6-8,,,Online Cam,Garrett,
2/2/2026,5:00:00 PM,Northern California,Mitchell's,8-12,6-8,,,Online Cam,Garrett,
2/2/2026,7:00:00 AM,Northern California,Santa Maria,4-5,,,,Surfing,Garrett,
2/2/2026,7:00:00 AM,Northern California,Blacks,4-5,6-8,,,Standing on Beach,Garrett,
2/2/2026,7:00:00 AM,Northern California,Natural Bridges,3-5,8-12,,,Standing on Beach,Garrett,
2/2/2026,8:00:00 AM,Northern California,Ocean Beach South,8-10,15-18,,,Online Cam,Garrett,
2/2/2026,11:00:00 AM,Northern California,Ocean Beach South,8-12,15-18,,,Online Cam,Garrett,
2/2/2026,4:00:00 PM,Northern California,Ocean Beach South,8-12,10-15,,,Online Cam,Garrett,
2/2/2026,8:00:00 AM,Northern California,Ocean Beach Central,12-15,15-18,,,Online Cam,Garrett,
2/2/2026,11:00:00 AM,Northern California,Ocean Beach Central,10-15,10-15,,,Online Cam,Garrett,
2/2/2026,4:00:00 PM,Northern California,Ocean Beach Central,10-12,10-15,,,Online Cam,Garrett,
2/2/2026,8:00:00 AM,Northern California,Ocean Beach North,12-15,10-15,,,Online Cam,Garrett,
2/2/2026,11:00:00 AM,Northern California,Ocean Beach North,10-15,8-12,,,Online Cam,Garrett,
2/2/2026,4:00:00 PM,Northern California,Ocean Beach North,10-12,8-12,,,Online Cam,Garrett,
2/3/2026,8:00:00 AM,Northern California,Ocean Beach South,8-10,8-10,,,Online Cam,Garrett,
2/3/2026,11:00:00 AM,Northern California,Ocean Beach South,6-10,6-8,,,Online Cam,Garrett,
2/3/2026,4:00:00 PM,Northern California,Ocean Beach South,8-10,5-7,,,Online Cam,Garrett,
2/3/2026,8:00:00 AM,Northern California,Ocean Beach Central,8-10,8-10,,,Online Cam,Garrett,
2/3/2026,11:00:00 AM,Northern California,Ocean Beach Central,6-8,6-8,,,Online Cam,Garrett,
2/3/2026,4:00:00 PM,Northern California,Ocean Beach Central,8-10,4-6,,,Online Cam,Garrett,
2/3/2026,8:00:00 AM,Northern California,Ocean Beach North,8-10,6-8,,,Online Cam,Garrett,
2/3/2026,11:00:00 AM,Northern California,Ocean Beach North,6-8,5-7,,,Online Cam,Garrett,
2/3/2026,4:00:00 PM,Northern California,Ocean Beach North,5-8,4-6,,,Online Cam,Garrett,
2/4/2026,8:00:00 AM,Northern California,Ocean Beach South,7-10,4-6,,,Online Cam,Garrett,
2/4/2026,8:00:00 AM,Northern California,Ocean Beach Central,8-10,4-6,,,Online Cam,Garrett,
2/4/2026,8:00:00 AM,Northern California,Ocean Beach North,6-7,4-5,,,Online Cam,Garrett,
2/4/2026,7:00:00 AM,Northern California,Steamer Lane Middle Peak,3-5,4-5,,,Online Cam,Garrett,
2/4/2026,7:00:00 AM,Northern California,Steamer Lane Point,3-5,4-5,,,Online Cam,Garrett,
2/5/2026,8:00:00 AM,Northern California,Moss Landing,8-10,,,,Surfling,Garrett,Dunes (North of Jetty)
2/5/2026,7:00:00 AM,Northern California,Manresa,6-8,5-7,,,Online Cam,Garrett,
2/5/2026,5:00:00 PM,Northern California,Manresa,5-8,5-7,,,Online Cam,Garrett,
2/5/2026,7:00:00 AM,Northern California,Capitola,1-3,1-2,,,Online Cam,Garrett,
2/5/2026,5:00:00 PM,Northern California,Capitola,2-4,1-2,,,Online Cam,Garrett,
2/5/2026,7:00:00 AM,Northern California,Pleasure Point Jacks,3-4,2-3,,,Online Cam,Garrett,
2/5/2026,5:00:00 PM,Northern California,Pleasure Point Jacks,3-4,2-3,,,Online Cam,Garrett,
2/5/2026,7:00:00 AM,Northern California,Pleasure Point First Peak,8,4-6,,,Online Cam,Garrett,
2/5/2026,5:00:00 PM,Northern California,Pleasure Point First Peak,8,4-6,,,Online Cam,Garrett,
2/5/2026,7:00:00 AM,Northern California,Pleasure Point Second Peak,7,4-6,,,Online Cam,Garrett,
2/5/2026,5:00:00 PM,Northern California,Pleasure Point Second Peak,8,4-6,,,Online Cam,Garrett,
2/5/2026,7:00:00 AM,Northern California,Pleasure Point Sewers,10,4-6,,,Online Cam,Garrett,
2/5/2026,5:00:00 PM,Northern California,Pleasure Point Sewers,10,4-6,,,Online Cam,Garrett,
2/5/2026,7:00:00 AM,Northern California,26th Ave,7,8-10,,,Online Cam,Garrett,
2/5/2026,5:00:00 PM,Northern California,26th Ave,8,4-6,,,Online Cam,Garrett,
2/5/2026,7:00:00 AM,Northern California,Cowells,1-2,1-2,,,Online Cam,Garrett,
2/5/2026,5:00:00 PM,Northern California,Cowells,2-3,1-2,,,Online Cam,Garrett,
2/5/2026,7:00:00 AM,Northern California,Steamer Lane Middle Peak,10,8-10,,,Online Cam,Garrett,
2/5/2026,5:00:00 PM,Northern California,Steamer Lane Middle Peak,10,6-8,,,Online Cam,Garrett,
2/5/2026,7:00:00 AM,Northern California,Steamer Lane Point,7,8-10,,,Online Cam,Garrett,
2/5/2026,5:00:00 PM,Northern California,Steamer Lane Point,8,6-8,,,Online Cam,Garrett,
2/5/2026,7:00:00 AM,Northern California,Steamer Lane Indicators,3-4,,,,Online Cam,Garrett,
2/5/2026,5:00:00 PM,Northern California,Steamer Lane Indicators,3-5,,,,Online Cam,Garrett,
2/6/2026,9:00:00 AM,Northern California,Pleasure Point Jacks,3-5,3-4,,,Standing on Shore,Garrett,
2/6/2026,9:00:00 AM,Northern California,Pleasure Point First Peak,6-8,6-8,,,Standing on Shore,Garrett,
2/6/2026,9:00:00 AM,Northern California,Pleasure Point Second Peak,5-7,6-8,,,Standing on Shore,Garrett,
2/6/2026,9:00:00 AM,Northern California,Pleasure Point Sewers,10,6-8,,,Standing on Shore,Garrett,
2/6/2026,9:00:00 AM,Northern California,Pleasure Point Rockview,9,6-8,,,Standing on Shore,Garrett,
2/7/2026,3:00:00 PM,Northern California,Swift Street,4-6,4-5,,,Standing on Shore,Garrett,
2/7/2026,3:00:00 PM,Northern California,Natural Bridges,3-5,4-5,,,Surfing,Garrett,
2/8/2026,7:00:00 AM,Northern California,Waddell Creek Reef,6-8,4-6,,,Surfing,Garrett,
2/8/2026,7:00:00 AM,Northern California,Waddell Creek Beach,6-8,4-6,,,Standing on Shore,Garrett,
2/10/2026,10:30:00 AM,Northern California,Ocean Beach Central,8-12,8-12,,,Surfing,Garrett,
2/17/2026,8:00:00 AM,Northern California,Pleasure Point Jacks,2,1-2,,,Online Cam,Garrett,
2/17/2026,4:00:00 PM,Northern California,Pleasure Point Jacks,4,2-3,,,Online Cam,Garrett,
2/17/2026,4:00:00 PM,Northern California,Pleasure Point First Peak,5,5-7,,,Online Cam,Garrett,
2/17/2026,4:00:00 PM,Northern California,Pleasure Point Second Peak,4,5-7,,,Online Cam,Garrett,
2/17/2026,4:00:00 PM,Northern California,Pleasure Point Sewers,6,5-7,,,Online Cam,Garrett,
2/17/2026,4:00:00 PM,Northern California,26th Ave,5,6-8,,,Online Cam,Garrett,
2/17/2026,4:00:00 PM,Northern California,Cowells,2,2-3,,,Online Cam,Garrett,
2/17/2026,4:00:00 PM,Northern California,Steamer Lane Middle Peak,8,6-8,,,Online Cam,Garrett,
2/17/2026,4:00:00 PM,Northern California,Steamer Lane Point,6,6-8,,,Online Cam,Garrett,
2/17/2026,4:00:00 PM,Northern California,Steamer Lane Indicators,2,,,,Online Cam,Garrett,
2/17/2026,4:00:00 PM,Northern California,Mitchell's,5,6-8,,,Online Cam,Garrett,
2/18/2026,8:00:00 AM,Northern California,Pleasure Point Jacks,4,2-3,,,Online Cam,Garrett,
2/18/2026,8:00:00 AM,Northern California,Pleasure Point First Peak,7,6-8,,,Online Cam,Garrett,
2/18/2026,8:00:00 AM,Northern California,Pleasure Point Second Peak,7,6-8,,,Online Cam,Garrett,
