break_id,swell_dir,swell_period,k_factor
1,130.0,6.0,0.2655445518623712
1,130.0,7.0,0.2604654947210617
1,130.0,8.0,0.258316360958479
1,130.0,9.0,0.2592128348112641
1,130.0,10.0,0.26417995127801625
1,130.0,11.0,0.27249467448344983
1,130.0,12.0,0.283574194834201
1,130.0,13.0,0.29688852054576925
1,130.0,14.0,0.31193042100564783
1,130.0,15.0,0.32820368745013406
1,130.0,16.0,0.34520871017188764
1,130.0,17.0,0.36195561233357654
1,130.0,18.0,0.377726110916833
1,130.0,19.0,0.39355534785669594
1,130.0,20.0,0.4088423481225624
1,130.0,21.0,0.42297108781025705
1,130.0,22.0,0.43468473325888013
1,135.0,6.0,0.21350123875627713
1,135.0,7.0,0.20832065755476778
1,135.0,8.0,0.20597891124000392
1,135.0,9.0,0.20754958139705404
1,135.0,10.0,0.21315922525916445
1,135.0,11.0,0.22320202219123644
1,135.0,12.0,0.23745071724143946
1,135.0,13.0,0.25498409847561104
1,135.0,14.0,0.2750078264065635
1,135.0,15.0,0.2967896377360237
1,135.0,16.0,0.31962879978791975
1,135.0,17.0,0.3427168708035889
1,135.0,18.0,0.3649269981593458
1,135.0,19.0,0.3855564096352974
1,135.0,20.0,0.4037624653568325
1,135.0,21.0,0.41889809991278093
1,135.0,22.0,0.4301095720844704
1,140.0,6.0,0.16612583966076108
1,140.0,7.0,0.16097333640068637
1,140.0,8.0,0.15585987214189773
1,140.0,9.0,0.15512724386613472
1,140.0,10.0,0.16204046807067252
1,140.0,11.0,0.17483494336449432
1,140.0,12.0,0.19231254287243843
1,140.0,13.0,0.21349801030039772
1,140.0,14.0,0.2375144276567491
1,140.0,15.0,0.26353248423174513
1,140.0,16.0,0.2907466998684988
1,140.0,17.0,0.3182340504229686
1,140.0,18.0,0.34466197733337867
1,140.0,19.0,0.369174679250658
1,140.0,20.0,0.3904342832407598
1,140.0,21.0,0.4069958437654663
1,140.0,22.0,0.41784477533683895
1,145.0,6.0,0.12462349542877807
1,145.0,7.0,0.11601671051869537
1,145.0,8.0,0.11042970222248
1,145.0,9.0,0.11112983797346297
1,145.0,10.0,0.11941315773091897
1,145.0,11.0,0.13369187086732304
1,145.0,12.0,0.15281831766958298
1,145.0,13.0,0.1758153560404818
1,145.0,14.0,0.2017800908226642
1,145.0,15.0,0.22984510306484598
1,145.0,16.0,0.2591598247569041
1,145.0,17.0,0.28871867971390414
1,145.0,18.0,0.31704258534015567
1,145.0,19.0,0.3432438854432132
1,145.0,20.0,0.36583846766394035
1,145.0,21.0,0.38317612604490525
1,145.0,22.0,0.3944750131131006
1,150.0,6.0,0.1
1,150.0,7.0,0.1
1,150.0,8.0,0.1
1,150.0,9.0,0.10149603093832689
1,150.0,10.0,0.10573987380419296
1,150.0,11.0,0.11236515367392633
1,150.0,12.0,0.12100549562385508
1,150.0,13.0,0.14149001013903184
1,150.0,14.0,0.167160771810077
1,150.0,15.0,0.19487055817515397
1,150.0,16.0,0.22378969288747663
1,150.0,17.0,0.2528658333494544
1,150.0,18.0,0.2804900478108579
1,150.0,19.0,0.306062315205719
1,150.0,20.0,0.32826803426902695
1,150.0,21.0,0.3461912317396675
1,150.0,22.0,0.36038149788290197
1,155.0,6.0,0.1
1,155.0,7.0,0.1
1,155.0,8.0,0.1
