break_id,swell_dir,swell_period,k_factor
24,180.0,8.0,1.1132774970601698
24,180.0,12.0,1.332260106575179
24,180.0,18.0,1.7151136695988114
24,225.0,8.0,0.55874911098715
24,225.0,12.0,0.6582105093610855
24,225.0,18.0,0.8419986440648944
24,270.0,8.0,0.1125267100391865
24,270.0,12.0,0.1347091849868319
24,270.0,18.0,0.1734470424319134
24,315.0,8.0,0.1125267100391865
24,315.0,12.0,0.1347091849868319
24,315.0,18.0,0.1734470424319134
24,360.0,8.0,0.1125267100391865
24,360.0,12.0,0.1347091849868319
24,360.0,18.0,0.1734470424319134
51,180.0,8.0,0.1125266136877155
51,180.0,12.0,0.1342042707863839
51,180.0,18.0,0.1625985332603814
51,225.0,8.0,0.3750400987596639
51,225.0,12.0,0.4381225361288526
51,225.0,18.0,0.5259893485108266
51,270.0,8.0,1.0560733885886282
51,270.0,12.0,1.2569158167600774
51,270.0,18.0,1.5213809274740335
51,315.0,8.0,0.943342296014612
51,315.0,12.0,1.1190131578849032
51,315.0,18.0,1.3523971655819569
51,360.0,8.0,0.1864492843341418
51,360.0,12.0,0.2169315784982042
51,360.0,18.0,0.2600055278300213
10,180.0,8.0,1.1586653267505935
10,180.0,12.0,1.4157355421557367
10,180.0,18.0,1.839480373605146
10,225.0,8.0,0.1
10,225.0,12.0,0.1
10,225.0,18.0,0.1
10,270.0,8.0,0.1692523124285848
10,270.0,12.0,0.2071617757581626
10,270.0,18.0,0.2693551584668538
10,315.0,8.0,0.1692523124285848
10,315.0,12.0,0.2071617757581626
10,315.0,18.0,0.2693551584668538
10,360.0,8.0,0.1692523124285848
10,360.0,12.0,0.2071617757581626
10,360.0,18.0,0.2693551584668538
45,180.0,8.0,0.1064117574487345
45,180.0,12.0,0.1262489255314847
45,180.0,18.0,0.1619150104083991
45,225.0,8.0,0.1064117574487345
45,225.0,12.0,0.1262489255314847
45,225.0,18.0,0.1619150104083991
45,270.0,8.0,0.1
45,270.0,12.0,0.1
45,270.0,18.0,0.1
45,315.0,8.0,0.6864780755421276
45,315.0,12.0,0.8019653612427549
45,315.0,18.0,1.0220080139484509
45,360.0,8.0,1.063118177200181
45,360.0,12.0,1.261250979350616
45,360.0,18.0,1.617533034922644
46,180.0,8.0,0.1125267100391865
46,180.0,12.0,0.1347091849868319
46,180.0,18.0,0.1734470424319134
46,225.0,8.0,0.1125267100391865
46,225.0,12.0,0.1347091849868319
46,225.0,18.0,0.1734470424319134
46,270.0,8.0,0.1
46,270.0,12.0,0.1
46,270.0,18.0,0.1
46,315.0,8.0,0.7159953199996358
46,315.0,12.0,0.8470261852911267
46,315.0,18.0,1.0853283191190182
46,360.0,8.0,1.1244669289203302
46,360.0,12.0,1.346101650916406
46,360.0,18.0,1.733177922909115
47,180.0,8.0,0.1
47,180.0,12.0,0.1157068008440516
47,180.0,18.0,0.1472242316949557
47,225.0,8.0,0.1
47,225.0,12.0,0.1157068008440516
47,225.0,18.0,0.1472242316949557
47,270.0,8.0,0.1
47,270.0,12.0,0.1
47,270.0,18.0,0.1
47,315.0,8.0,0.6303624773608283
47,315.0,12.0,0.7172057929318161
47,315.0,18.0,0.9035700320697608
47,360.0,8.0,0.9929475379205516
47,360.0,12.0,1.156893786344596
47,360.0,18.0,1.4720146433687855
43,180.0,8.0,1.102333311195458
43,180.0,12.0,1.3187313088312778
43,180.0,18.0,1.6974630506810289
43,225.0,8.0,0.5089444441798309
43,225.0,12.0,0.5987707957648017
43,225.0,18.0,0.7655839067213274
43,270.0,8.0,0.1125267100391865
43,270.0,12.0,0.1347091849868319
43,270.0,18.0,0.1734470424319134
43,315.0,8.0,0.1125267100391865
43,315.0,12.0,0.1347091849868319
43,315.0,18.0,0.1734470424319134
43,360.0,8.0,0.1125267100391865
43,360.0,12.0,0.1347091849868319
43,360.0,18.0,0.1734470424319134
40,180.0,8.0,1.689392137645622
40,180.0,12.0,1.923781081402036
40,180.0,18.0,2.0380427338184988
40,225.0,8.0,0.5123514272428554
40,225.0,12.0,0.5825738564617989
40,225.0,18.0,0.6168446797079805
40,270.0,8.0,0.1853147615318582
40,270.0,12.0,0.2110759234327862
40,270.0,18.0,0.2236320446681846
40,315.0,8.0,0.1853147615318582
40,315.0,12.0,0.2110759234327862
40,315.0,18.0,0.2236320446681846
40,360.0,8.0,0.1853147615318582
40,360.0,12.0,0.2110759234327862
40,360.0,18.0,0.2236320446681846
33,180.0,8.0,1.2255726493217698
33,180.0,12.0,1.480326532416479
33,180.0,18.0,1.913510307722776
33,225.0,8.0,0.744746726926261
33,225.0,12.0,0.8919449295551967
33,225.0,18.0,1.1489892995703326
33,270.0,8.0,0.1
33,270.0,12.0,0.1
33,270.0,18.0,0.1
33,315.0,8.0,0.1225588465166522
33,315.0,12.0,0.1480346070698684
33,315.0,18.0,0.1913535796792131
33,360.0,8.0,0.1225588465166522
33,360.0,12.0,0.1480346070698684
33,360.0,18.0,0.1913535796792131
49,180.0,8.0,0.1
49,180.0,12.0,0.1
49,180.0,18.0,0.1
49,225.0,8.0,0.1
49,225.0,12.0,0.1
49,225.0,18.0,0.1
49,270.0,8.0,0.1
49,270.0,12.0,0.1
49,270.0,18.0,0.1
49,315.0,8.0,0.5661853214482669
49,315.0,12.0,0.6577762999081428
49,315.0,18.0,0.8360466901449489
49,360.0,8.0,1.0232279087749065
49,360.0,12.0,1.2063835120153534
49,360.0,18.0,1.542700390585668
50,180.0,8.0,0.1022728907657351
50,180.0,12.0,0.1202467582392232
50,180.0,18.0,0.1536088547747943
50,225.0,8.0,0.1022728907657351
50,225.0,12.0,0.1202467582392232
50,225.0,18.0,0.1536088547747943
50,270.0,8.0,0.1
50,270.0,12.0,0.1
50,270.0,18.0,0.1
50,315.0,8.0,0.6838123434818766
50,315.0,12.0,0.7896235481491287
50,315.0,18.0,1.0011666067942628
50,360.0,8.0,1.0202713369937275
50,360.0,12.0,1.1994205114677188
50,360.0,18.0,1.5321080119028003
23,180.0,8.0,1.3452701588480689
23,180.0,12.0,1.638196240331007
23,180.0,18.0,2.12525141685102
23,225.0,8.0,0.4714405917687045
23,225.0,12.0,0.5706064611654929
23,225.0,18.0,0.7384530817162551
23,270.0,8.0,0.1434524594114525
23,270.0,12.0,0.1748126038951106
23,270.0,18.0,0.2268520831988255
23,315.0,8.0,0.1434524594114525
23,315.0,12.0,0.1748126038951106
23,315.0,18.0,0.2268520831988255
23,360.0,8.0,0.1434524594114525
23,360.0,12.0,0.1748126038951106
23,360.0,18.0,0.2268520831988255
