break_id,swell_dir,swell_period,k_factor
1,130.0,6.0,0.1
1,130.0,7.0,0.10000013839332128
1,130.0,8.0,0.10001071701132162
1,130.0,9.0,0.10209472177794207
1,130.0,10.0,0.10806985611744829
1,130.0,11.0,0.11695741760008849
1,130.0,12.0,0.1278056142832024
1,130.0,13.0,0.1398922640391792
1,130.0,14.0,0.15359050131504123
1,130.0,15.0,0.1692476279625675
1,130.0,16.0,0.18518749115068536
1,130.0,17.0,0.20105149356884186
1,130.0,18.0,0.2173130032318943
1,130.0,19.0,0.2340355916605123
1,130.0,20.0,0.2499606403300909
1,130.0,21.0,0.2648747329663514
1,130.0,22.0,0.27860992175151694
1,135.0,6.0,0.10436565051303213
1,135.0,7.0,0.10042695409038917
1,135.0,8.0,0.10434787558529193
1,135.0,9.0,0.11116580574700582
1,135.0,10.0,0.11892212667747971
1,135.0,11.0,0.12812314448834436
1,135.0,12.0,0.13867304331145908
1,135.0,13.0,0.15032283184318512
1,135.0,14.0,0.16370981792653946
1,135.0,15.0,0.17906096338071917
1,135.0,16.0,0.19462807945498892
1,135.0,17.0,0.21013865041152902
1,135.0,18.0,0.22611642322832493
1,135.0,19.0,0.24257993503326875
1,135.0,20.0,0.25824419691982353
1,135.0,21.0,0.2729134982676498
1,135.0,22.0,0.28642608324130603
1,140.0,6.0,0.145230988577989
1,140.0,7.0,0.14298567603322035
1,140.0,8.0,0.14180052276307523
1,140.0,9.0,0.1434357943986393
1,140.0,10.0,0.14792707821010062
1,140.0,11.0,0.15476716732502838
1,140.0,12.0,0.1634100338233577
1,140.0,13.0,0.1734759097050006
1,140.0,14.0,0.18559860690901192
1,140.0,15.0,0.19981730824916696
1,140.0,16.0,0.21433892727098275
1,140.0,17.0,0.22893545352389258
1,140.0,18.0,0.24415777707594533
1,140.0,19.0,0.2599421763520843
1,140.0,20.0,0.2749695807484908
1,140.0,21.0,0.28906178579112585
1,140.0,22.0,0.30206214633668466
1,145.0,6.0,0.19348297923338187
1,145.0,7.0,0.19450118109560707
1,145.0,8.0,0.19315065516248603
1,145.0,9.0,0.19308799864414705
1,145.0,10.0,0.19462941062513206
1,145.0,11.0,0.19820376572319634
1,145.0,12.0,0.20379972482718273
1,145.0,13.0,0.21116780006730945
1,145.0,14.0,0.22081100990248387
1,145.0,15.0,0.23272239908166073
1,145.0,16.0,0.24527264795848197
1,145.0,17.0,0.2581824127989022
1,145.0,18.0,0.2719518958275075
1,145.0,19.0,0.2864263829673684
1,145.0,20.0,0.3002820843002953
1,145.0,21.0,0.31334083417777536
1,145.0,22.0,0.3254364698582021
1,150.0,6.0,0.24797849456873938
1,150.0,7.0,0.2503487291553627
1,150.0,8.0,0.2530437305275846
1,150.0,9.0,0.2526104931896199
1,150.0,10.0,0.25308146974357865
1,150.0,11.0,0.25477388650956256
1,150.0,12.0,0.2578540382320538
1,150.0,13.0,0.26245864173093203
1,150.0,14.0,0.2690462510847151
1,150.0,15.0,0.2778049115980986
1,150.0,16.0,0.28757396335804497
1,150.0,17.0,0.2980303161567614
1,150.0,18.0,0.3095737203085299
1,150.0,19.0,0.32199711345246484
1,150.0,20.0,0.3340479568812239
1,150.0,21.0,0.34552610444116333
1,150.0,22.0,0.3562458011485604
1,155.0,6.0,0.3070759017003703
1,155.0,7.0,0.3111896543718015
1,155.0,8.0,0.3163411614521297
1,155.0,9.0,0.31857812047490774
1,155.0,10.0,0.31900945503246747
1,155.0,11.0,0.3198767373133936
1,155.0,12.0,0.32143152192272073
1,155.0,13.0,0.3240092905748246
1,155.0,14.0,0.32784854762665383
1,155.0,15.0,0.33336673193578775
1,155.0,16.0,0.34001094871466103
1,155.0,17.0,0.34752802864836085
1,155.0,18.0,0.35623647451224133
1,155.0,19.0,0.3659548498484199
1,155.0,20.0,0.375603134913466
1,155.0,21.0,0.3849636024351679
1,155.0,22.0,0.3938330364340081
1,160.0,6.0,0.36891046575471065
1,160.0,7.0,0.3750850655264653
1,160.0,8.0,0.38181800712873204
1,160.0,9.0,0.38685847151913155
1,160.0,10.0,0.3889022496854578
1,160.0,11.0,0.38981313124607053
1,160.0,12.0,0.390463244575209
1,160.0,13.0,0.39176214453196245
1,160.0,14.0,0.3935460173103865
1,160.0,15.0,0.3963352015359434
1,160.0,16.0,0.4000355875126819
1,160.0,17.0,0.4045479868502319
1,160.0,18.0,0.4101622236232767
1,160.0,19.0,0.4167925881290193
1,160.0,20.0,0.4236301926352927
1,160.0,21.0,0.43047174556523005
1,160.0,22.0,0.43711692652594697
1,165.0,6.0,0.43150682025681003
1,165.0,7.0,0.4399587206976676
1,165.0,8.0,0.44830430239285046
1,165.0,9.0,0.45483507513985333
1,165.0,10.0,0.45894723374945434
1,165.0,11.0,0.46091624661793107
1,165.0,12.0,0.4613411803758526
1,165.0,13.0,0.4619095156243806
1,165.0,14.0,0.46228157692451266
1,165.0,15.0,0.46304438670298687
1,165.0,16.0,0.4643099871628417
1,165.0,17.0,0.4661218026693667
1,165.0,18.0,0.4687695574266535
1,165.0,19.0,0.4722953647722078
1,165.0,20.0,0.4762120602423885
1,165.0,21.0,0.4803762338916733
1,165.0,22.0,0.48462087202076903
1,170.0,6.0,0.4928653258268981
1,170.0,7.0,0.5036970271206717
1,170.0,8.0,0.5137234920685578
1,170.0,9.0,0.5213112450014293
1,170.0,10.0,0.5266402480868623
1,170.0,11.0,0.5298022154120812
1,170.0,12.0,0.5307478798173577
1,170.0,13.0,0.5310429165525948
1,170.0,14.0,0.5305386311159478
1,170.0,15.0,0.5299083231820798
1,170.0,16.0,0.5293386876091265
1,170.0,17.0,0.5289635518643362
1,170.0,18.0,0.5290776943602202
1,170.0,19.0,0.5298349362935231
1,170.0,20.0,0.5310526765627065
1,170.0,21.0,0.5326794471788888
1,170.0,22.0,0.5346064734866247
1,175.0,6.0,0.5510339411411156
1,175.0,7.0,0.5642308322389169
1,175.0,8.0,0.5759276121780048
1,175.0,9.0,0.5845406038153291
1,175.0,10.0,0.5905346669510131
1,175.0,11.0,0.5943287018471185
1,175.0,12.0,0.5959626449606755
1,175.0,13.0,0.596271398915128
1,175.0,14.0,0.5953228848086349
1,175.0,15.0,0.5937966562367273
1,175.0,16.0,0.5919435328885032
1,175.0,17.0,0.5899669169382297
1,175.0,18.0,0.5881668965376976
1,175.0,19.0,0.5867639631548338
1,175.0,20.0,0.585803792931138
1,175.0,21.0,0.5853260816812238
1,175.0,22.0,0.5852858135573533
1,180.0,6.0,0.6041712281454262
1,180.0,7.0,0.6196057178624437
1,180.0,8.0,0.632883967318619
1,180.0,9.0,0.6424726424656613
1,180.0,10.0,0.649003615385117
1,180.0,11.0,0.6530580147696486
1,180.0,12.0,0.655037177237425
1,180.0,13.0,0.6553801825827689
1,180.0,14.0,0.6542412311758374
1,180.0,15.0,0.6521865964035071
1,180.0,16.0,0.6495407532414202
1,180.0,17.0,0.6465734383832699
1,180.0,18.0,0.6435853506424015
1,180.0,19.0,0.6408119894368582
1,180.0,20.0,0.6384186498121461
1,180.0,21.0,0.6365018623110693
1,180.0,22.0,0.6350641991370525
1,185.0,6.0,0.650602650193446
1,185.0,7.0,0.6680436067564667
1,185.0,8.0,0.682741525055713
1,185.0,9.0,0.693210012174975
1,185.0,10.0,0.7002228249849995
1,185.0,11.0,0.7044387433592034
