break_id,swell_dir,swell_period,k_factor
1,130.0,6.0,0.1
1,130.0,7.0,0.10000000000000002
1,130.0,8.0,0.1
1,130.0,9.0,0.10149603093832689
1,130.0,10.0,0.10573987380419297
1,130.0,11.0,0.11236515367392633
1,130.0,12.0,0.1210054956238551
1,130.0,13.0,0.13129452473030734
1,130.0,14.0,0.14286586606961127
1,130.0,15.0,0.15535314471809483
1,130.0,16.0,0.16838998575208627
1,130.0,17.0,0.1816100142479137
1,130.0,18.0,0.19464685528190517
1,130.0,19.0,0.20713413393038876
1,130.0,20.0,0.21870737942794855
1,130.0,21.0,0.22900414253065354
1,130.0,22.0,0.23766452322246895
1,135.0,6.0,0.1
1,135.0,7.0,0.10000000000000002
1,135.0,8.0,0.1
1,135.0,9.0,0.10149603093832689
1,135.0,10.0,0.10573987380419297
1,135.0,11.0,0.11236515367392633
1,135.0,12.0,0.1210054956238551
1,135.0,13.0,0.13129452473030734
1,135.0,14.0,0.14286586606961127
1,135.0,15.0,0.15535314471809483
1,135.0,16.0,0.16838998575208627
1,135.0,17.0,0.1816100142479137
1,135.0,18.0,0.19464705116944986
1,135.0,19.0,0.2071366654520062
1,135.0,20.0,0.21871619652459456
1,135.0,21.0,0.22902431206743243
1,135.0,22.0,0.23770340681952534
1,140.0,6.0,0.1
1,140.0,7.0,0.10000000000000002
1,140.0,8.0,0.1
1,140.0,9.0,0.10149603093832689
1,140.0,10.0,0.10573987380419297
1,140.0,11.0,0.11236515367392633
1,140.0,12.0,0.1210054956238551
1,140.0,13.0,0.13129452473030734
1,140.0,14.0,0.14286586606961127
1,140.0,15.0,0.15535314471809483
1,140.0,16.0,0.16838998575208627
1,140.0,17.0,0.18161086907200213
1,140.0,18.0,0.19465086401007625
1,140.0,19.0,0.2071482559166769
1,140.0,20.0,0.2187448158093146
1,140.0,21.0,0.22908285859404168
1,140.0,22.0,0.23780865637970433
1,145.0,6.0,0.1
1,145.0,7.0,0.10000000000000002
1,145.0,8.0,0.1
1,145.0,9.0,0.10149603093832689
1,145.0,10.0,0.10573987380419297
1,145.0,11.0,0.11236515367392633
1,145.0,12.0,0.1210054956238551
1,145.0,13.0,0.13129452473030734
1,145.0,14.0,0.14286586606961127
1,145.0,15.0,0.15535314471809483
1,145.0,16.0,0.16839164373349516
1,145.0,17.0,0.1816176905880785
1,145.0,18.0,0.19466788414077257
1,145.0,19.0,0.207187361811
1,145.0,20.0,0.21882523819637906
1,145.0,21.0,0.22922750547014267
1,145.0,22.0,0.23804625473695407
1,150.0,6.0,0.1
1,150.0,7.0,0.10000000000000002
1,150.0,8.0,0.1
1,150.0,9.0,0.10149603093832689
1,150.0,10.0,0.10573987380419297
1,150.0,11.0,0.11236515367392633
1,150.0,12.0,0.1210054956238551
1,150.0,13.0,0.13129452473030734
1,150.0,14.0,0.14286586606961127
1,150.0,15.0,0.1553557777726278
1,150.0,16.0,0.1684029622798543
1,150.0,17.0,0.18164726629059003
