break_id,wave_time_utc,significant_wave_height,primary_wave_height,primary_period,primary_direction,secondary_wave_height,secondary_period,secondary_direction,tertiary_wave_height,tertiary_period,tertiary_direction,source,ingested_at
36,2026-03-12 09:00:00,1.6901285648345947,1.6541629092976955,20.0,196.4399871826172,0.0951974901866755,4.761904716491699,285.3348388671875,,,,cdip,2026-03-12 17:48:05
36,2026-03-12 12:00:00,1.7681244611740112,1.733462875672871,20.0,196.44131469726562,0.1085233527069167,4.545454502105713,284.49505615234375,,,,cdip,2026-03-12 17:48:05
36,2026-03-12 15:00:00,1.8562160730361938,1.8201010912811713,20.0,196.35345458984375,0.11867203961072785,4.761904716491699,284.7939147949219,,,,cdip,2026-03-12 17:48:05
36,2026-03-12 18:00:00,1.9158414602279663,1.8795900746098275,20.0,196.37623596191406,0.11494838252647982,4.761904716491699,284.4548034667969,,,,cdip,2026-03-12 17:48:05
36,2026-03-12 21:00:00,1.9672802686691284,1.933481540699341,18.18181800842285,197.4709014892578,0.10794946550065329,4.761904716491699,284.19598388671875,,,,cdip,2026-03-12 17:48:05
36,2026-03-13 00:00:00,1.9835618734359741,1.9507150659421413,18.18181800842285,197.4134521484375,0.10621602184785266,4.761904716491699,284.3204650878906,,,,cdip,2026-03-12 17:48:05
36,2026-03-13 03:00:00,1.9749670028686523,1.941509835072181,18.18181800842285,197.3519287109375,0.11087007152415546,4.761904716491699,284.7757873535156,,,,cdip,2026-03-12 17:48:05
36,2026-03-13 06:00:00,1.9340276718139648,1.8971465317071727,18.18181800842285,197.32688903808594,0.11876128340746327,4.545454502105713,284.51092529296875,,,,cdip,2026-03-12 17:48:05
36,2026-03-13 09:00:00,1.876948356628418,1.836818078071904,18.18181800842285,197.44515991210938,0.11992108223618894,4.34782600402832,283.0167541503906,,,,cdip,2026-03-12 17:48:05
36,2026-03-13 12:00:00,1.8270256519317627,1.7810423880603254,18.18181800842285,197.68655395507812,0.1320124751065244,4.545454502105713,283.6802062988281,,,,cdip,2026-03-12 17:48:05
36,2026-03-13 15:00:00,1.7626889944076538,1.7027987946455643,16.666667938232422,199.36398315429688,0.14855548912592387,4.761904716491699,283.95709228515625,,,,cdip,2026-03-12 17:48:05
36,2026-03-13 18:00:00,1.708184003829956,1.6402357093712943,16.666667938232422,199.195068359375,0.12084757485266591,4.761904716491699,282.9413146972656,,,,cdip,2026-03-12 17:48:05
36,2026-03-13 21:00:00,1.6404497623443604,1.5698968897205472,16.666667938232422,199.2723388671875,0.1094581168981188,4.761904716491699,281.87445068359375,,,,cdip,2026-03-12 17:48:05
36,2026-03-14 00:00:00,1.5695559978485107,1.495379802978986,16.666667938232422,199.48965454101562,0.1048528383355171,4.761904716491699,282.1128845214844,,,,cdip,2026-03-12 17:48:05
36,2026-03-14 03:00:00,1.526073694229126,1.4382281739627578,16.666667938232422,199.8124542236328,0.11280910987462503,4.761904716491699,282.4136047363281,,,,cdip,2026-03-12 17:48:05
36,2026-03-14 06:00:00,1.476550817489624,1.3767058021872582,16.666667938232422,200.16322326660156,0.11381269626610983,4.761904716491699,282.085693359375,,,,cdip,2026-03-12 17:48:05
36,2026-03-14 09:00:00,1.4386670589447021,1.3394461617409774,16.666667938232422,200.22813415527344,0.11176308772448067,4.761904716491699,281.651611328125,,,,cdip,2026-03-12 17:48:05
36,2026-03-14 12:00:00,1.411531686782837,1.3037427119694156,15.384615898132324,198.6029052734375,0.11604705442622994,4.761904716491699,281.4305725097656,,,,cdip,2026-03-12 17:48:05
36,2026-03-14 15:00:00,1.3803013563156128,1.2577781909504613,15.384615898132324,198.6625518798828,0.11987757625685443,4.761904716491699,280.4193420410156,,,,cdip,2026-03-12 17:48:05
36,2026-03-14 18:00:00,1.346276879310608,0.14729032688754537,15.384615898132324,198.57984924316406,1.1982403967361313,4.761904716491699,279.84576416015625,,,,cdip,2026-03-12 17:48:05
36,2026-03-14 21:00:00,1.3076564073562622,1.1465555458138674,15.384615898132324,198.26376342773438,0.6027181349993632,4.761904716491699,279.47869873046875,0.16996304791489766,22.22222137451172,213.6123504638672,cdip,2026-03-12 17:48:05
36,2026-03-15 00:00:00,1.2707825899124146,1.1085017353606932,14.285714149475098,197.1215057373047,0.2025051563100955,22.22222137451172,211.76754760742188,0.5847902892879858,4.761904716491699,279.7184753417969,cdip,2026-03-12 17:48:05
36,2026-03-15 03:00:00,1.2338742017745972,1.0701108867907456,14.285714149475098,196.55860900878906,0.23852283706781882,22.22222137451172,209.7732696533203,0.5636996615957152,4.761904716491699,280.4523620605469,cdip,2026-03-12 17:48:05
36,2026-03-15 06:00:00,1.1990382671356201,1.0145041516455489,14.285714149475098,196.32041931152344,0.3139296492670156,22.22222137451172,208.1279296875,0.55465485920034,4.761904716491699,280.4031677246094,cdip,2026-03-12 17:48:05
36,2026-03-15 09:00:00,1.1497613191604614,0.9664673523023973,14.285714149475098,196.19961547851562,0.34216829010853467,22.22222137451172,205.9228057861328,0.5184461404587407,4.761904716491699,279.8203430175781,cdip,2026-03-12 17:48:05
36,2026-03-15 12:00:00,1.1128846406936646,0.9264075820354807,14.285714149475098,195.9041290283203,0.3681916244268057,22.22222137451172,203.31019592285156,0.11616092695714361,4.761904716491699,279.69281005859375,cdip,2026-03-12 17:48:05
36,2026-03-15 15:00:00,1.0973169803619385,0.8992699788313132,14.285714149475098,195.47511291503906,0.40805317438015276,20.0,211.7699432373047,0.09725371847085934,4.761904716491699,278.89349365234375,cdip,2026-03-12 17:48:05
36,2026-03-15 18:00:00,1.085189938545227,0.8460439299254371,14.285714149475098,195.1458740234375,0.49421332506789756,20.0,209.14944458007812,0.46410171201838535,4.761904716491699,277.78106689453125,cdip,2026-03-12 17:48:05
36,2026-03-15 21:00:00,1.0702656507492065,0.8035950884287749,13.333333015441895,196.8467254638672,0.5562817939501485,20.0,206.3488311767578,0.43359778806163557,4.761904716491699,276.81488037109375,cdip,2026-03-12 17:48:05
36,2026-03-16 00:00:00,1.0642861127853394,0.6191665210783605,20.0,203.91233825683594,0.7651143998893631,13.333333015441895,196.49945068359375,0.4021014437607577,4.761904716491699,276.6871643066406,cdip,2026-03-12 17:48:05
36,2026-03-16 03:00:00,1.0682018995285034,0.6656072264971362,20.0,202.23663330078125,0.7408977344385108,13.333333015441895,196.10000610351562,0.38321872488888264,4.761904716491699,277.181396484375,cdip,2026-03-12 17:48:05
36,2026-03-16 06:00:00,1.096387267112732,0.7315078525265145,20.0,200.82199096679688,0.7263978340841344,13.333333015441895,195.7624053955078,0.058730892776744745,4.761904716491699,279.341064453125,cdip,2026-03-12 17:48:05
36,2026-03-16 09:00:00,1.1352684497833252,0.8307602536753678,20.0,199.7134552001953,0.6821394354977669,13.333333015441895,195.6221160888672,0.059125698913381,4.761904716491699,281.1982421875,cdip,2026-03-12 17:48:05
36,2026-03-16 12:00:00,1.1687566041946411,0.9017737103193394,20.0,199.15269470214844,0.6542317600018048,13.333333015441895,196.0421600341797,0.054972533793419064,4.761904716491699,281.7113037109375,cdip,2026-03-12 17:48:05
36,2026-03-16 15:00:00,1.19066321849823,0.9608995073452792,20.0,198.99635314941406,0.6191766529852406,13.333333015441895,196.94248962402344,0.05021869396878376,4.761904716491699,281.2041015625,cdip,2026-03-12 17:48:05
36,2026-03-16 18:00:00,1.2040561437606812,1.006305899163239,20.0,198.647705078125,0.5833148243783312,13.333333015441895,198.23936462402344,0.05734893210874159,4.761904716491699,280.63055419921875,cdip,2026-03-12 17:48:05
36,2026-03-16 21:00:00,1.2208603620529175,1.0725881511856747,18.18181800842285,201.8787841796875,0.507931357925697,13.333333015441895,199.3092041015625,0.051220738944594786,4.761904716491699,280.38165283203125,cdip,2026-03-12 17:48:05
36,2026-03-17 00:00:00,1.249100923538208,1.123123245959645,18.18181800842285,200.69647216796875,0.48118971409890904,12.5,206.7609100341797,0.25129225650739845,4.761904716491699,280.21710205078125,cdip,2026-03-12 17:48:05
36,2026-03-17 03:00:00,1.2801122665405273,1.1686669243647074,18.18181800842285,200.1789093017578,0.4653394924658419,12.5,207.40577697753906,0.22853594469547825,4.761904716491699,280.48626708984375,cdip,2026-03-12 17:48:05
36,2026-03-17 06:00:00,1.304322600364685,1.1982300500480427,18.18181800842285,200.30569458007812,0.46275995719971297,12.5,207.30551147460938,0.2173503392205927,4.761904716491699,280.779296875,cdip,2026-03-12 17:48:05
36,2026-03-17 09:00:00,1.3286900520324707,1.2205047690405024,18.18181800842285,200.5543212890625,0.46769129085572003,13.333333015441895,197.65882873535156,0.2302693619824453,4.761904716491699,282.2117614746094,cdip,2026-03-12 17:48:05
36,2026-03-17 12:00:00,1.3335119485855103,1.3120994410773337,18.18181800842285,200.65167236328125,0.2296653662286846,4.761904716491699,283.22760009765625,,,,cdip,2026-03-12 17:48:05
36,2026-03-17 15:00:00,1.3520705699920654,1.3316024134718616,16.666667938232422,201.4176025390625,0.22632838353546197,4.761904716491699,283.61102294921875,,,,cdip,2026-03-12 17:48:05
36,2026-03-17 18:00:00,1.378538727760315,1.3593837693907156,16.666667938232422,201.04385375976562,0.2212539651752486,4.761904716491699,283.3912048339844,,,,cdip,2026-03-12 17:48:05
36,2026-03-17 21:00:00,1.4005990028381348,1.3820320556362256,16.666667938232422,200.74415588378906,0.21981590997558115,4.761904716491699,283.4008483886719,,,,cdip,2026-03-12 17:48:05
36,2026-03-18 00:00:00,1.4094606637954712,1.392799177989794,16.666667938232422,200.6092529296875,0.20838510744173128,4.761904716491699,283.3131408691406,,,,cdip,2026-03-12 17:48:05
36,2026-03-18 03:00:00,1.4073225259780884,1.392459002906619,16.666667938232422,200.5903778076172,0.19598775483825337,4.761904716491699,283.0750732421875,,,,cdip,2026-03-12 17:48:05
36,2026-03-18 06:00:00,1.3953489065170288,1.3816077808966154,16.666667938232422,200.9556427001953,0.18716770768010543,4.761904716491699,283.27001953125,,,,cdip,2026-03-12 17:48:05
36,2026-03-18 09:00:00,1.3767037391662598,1.361603587233035,15.384615898132324,200.1766357421875,0.19610163532223965,4.761904716491699,285.07257080078125,,,,cdip,2026-03-12 17:48:05
36,2026-03-18 12:00:00,1.3540542125701904,1.3511180698239278,15.384615898132324,200.7704315185547,,,,,,,cdip,2026-03-12 17:48:05
36,2026-03-18 15:00:00,1.3438847064971924,1.3239858867060164,15.384615898132324,200.5304718017578,0.22314965640803816,4.545454502105713,286.4009094238281,,,,cdip,2026-03-12 17:48:05
36,2026-03-18 18:00:00,1.3244796991348267,1.3211153286931723,15.384615898132324,199.9439239501953,,,,,,,cdip,2026-03-12 17:48:05
36,2026-03-18 21:00:00,1.31759512424469,1.3033448123101177,15.384615898132324,199.97450256347656,0.18168039809362582,4.34782600402832,284.83966064453125,,,,cdip,2026-03-12 17:48:05
